,Type,Name,Location,Capacity,Inspections,Phone
524,PRE-SCHOOL (FACILITY-BASED PROGRAM),CAUSERIES: THE INTRODUCING FRENCH PLAYSCHOOL,"10860 57 AVE NW  PLEASANTVIEW COMMUNITY LEAGUE HALL  EDMONTON, AB  T6H 5Y7  ",21,view,  780-435-8875
525,PRE-SCHOOL (FACILITY-BASED PROGRAM),CCCG PRESCHOOL,"9249 50 STREET NW  EDMONTON, AB  T6B 3B6  ",16,view,  587-402-4316
526,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CEDARBRAE CHILDCARE CENTRE,"11220 - 26 STREET SW  CALGARY, AB  T2W 5A4  ",131,view,  403-281-0200
527,DAY CARE (FACILITY-BASED PROGRAM),CEDARBRAE CHILDCARE CENTRE,"11220 - 26 STREET SW  CALGARY, AB  T2W 5A4  ",131,view,  403-281-0200
528,DAY CARE (FACILITY-BASED PROGRAM),CEFA EARLY LEARNING-PRIVATE SCHOOL FOR CHILDREN 1 TO 5,"9625 MACLEOD TRAIL SW  CALGARY, AB  T2J 0P6  ",112,view,  403-217-9675
529,DAY CARE (FACILITY-BASED PROGRAM),CENTRAL MILLWOODS DAY CARE,"2825 MILLWOODS ROAD  EDMONTON, AB  T6K 4A9  ",78,view,  780-463-9622
530,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRAL MILLWOODS DAY CARE,"2825 MILLWOODS ROAD  EDMONTON, AB  T6K 4A9  ",78,view,  780-463-9622
531,DAY CARE (FACILITY-BASED PROGRAM),CENTRE D'APPRENTISSAGE DE LA PETITE ENFANCE: LA COLOMBE,"SUITE #120 8627 91 STREET  RUE MARIE-ANNE GABOURY  EDMONTON, AB  T6C 3N1  ",41,view,  780-757-1123
532,DAY CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE #2,"8728 93 AVENUE  ECOLE GABRIELLE-ROY  EDMONTON, AB  T6C 1T8  ",128,view,  780-461-9889
533,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE #2,"8728 93 AVENUE  ECOLE GABRIELLE-ROY  EDMONTON, AB  T6C 1T8  ",128,view,  780-461-9889
534,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE (CEPP),"8505 68A STREET  ECOLE STE-JEANNE D'ARC  EDMONTON, AB  T6B 0J9  ",38,view,  780-468-6934
535,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE (NOTRE DAME),"15425 91 AVENUE  ECOLE NOTRE-DAME  EDMONTON, AB  T5R 4Z7  ",30,view,  780-461-9889
536,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE (PERE LACOMBE),"10715 131A AVENUE  ECOLE PERE-LACOMBE  EDMONTON, AB  T5E 0X4  ",27,view,  780-461-9889
537,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE DE CANMORE,"3100B STEWART CREEK DRIVE  SUITE 001  CANMORE, AB  T1W 3M6  ",39,view,  403-678-0082
538,DAY CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE DE CANMORE,"3100B STEWART CREEK DRIVE  SUITE 001  CANMORE, AB  T1W 3M6  ",39,view,  403-678-0082
539,DAY CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE LA BELLE NATURE,"23 AKINS DRIVE  ST. ALBERT, AB  T8N 3B3  ",43,view,  780-458-8324
540,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE LA BELLE NATURE,"23 AKINS DRIVE  ST. ALBERT, AB  T8N 3B3  ",43,view,  780-458-8324
541,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE L'AVENTURE,"46 HERITAGE DRIVE  ECOLE LA MISSION  ST. ALBERT, AB  T8N 7J5  ",46,view,  780-458-8324
542,DAY CARE (FACILITY-BASED PROGRAM),CENTRE D'EXPERIENCE PRESCOLAIRE L'AVENTURE,"46 HERITAGE DRIVE  ECOLE LA MISSION  ST. ALBERT, AB  T8N 7J5  ",46,view,  780-458-8324
543,DAY CARE (FACILITY-BASED PROGRAM),CENTRE DAY CARE - HIGHLAND CENTRE,"8820 JASPER AVENUE  EDMONTON, AB  T5H 4E9  ",73,view,  780-424-7012
544,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE DAY CARE - HIGHLAND CENTRE,"8820 JASPER AVENUE  EDMONTON, AB  T5H 4E9  ",73,view,  780-424-7012
545,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTRE DAYCARE @ TELUS PLAZA,"30 10025 JASPER AVENUE  EDMONTON, AB  T5J 2B8  ",62,view,  780-413-9080
546,DAY CARE (FACILITY-BASED PROGRAM),CENTRE DAYCARE @ TELUS PLAZA,"30 10025 JASPER AVENUE  EDMONTON, AB  T5J 2B8  ",62,view,  780-413-9080
547,PRE-SCHOOL (FACILITY-BASED PROGRAM),CENTRE DE LA PETITE ENFANCE QUATRE-VENTS,"7401 - 99 RUE  PEACE RIVER, AB  T8S 1R4  ",30,view,  780-624-3015
548,PRE-SCHOOL (FACILITY-BASED PROGRAM),CENTRE DE LA PETITE ENFANCE HERITAGE,"110 RUE CHARBONNEAU  C.P 480  FALHER, AB  T0H 1M0  ",30,view,  780-837-3266
549,DAY CARE (FACILITY-BASED PROGRAM),CENTRE PRESCOLAIRE ET PARASCOLAIRE LES PETITS PIEDS INC.,"1165 RAVENSWOOD DR SE  AIRDRIE, AB  T4A 0H3  ",24,view,  587-227-2439
550,PRE-SCHOOL (FACILITY-BASED PROGRAM),CENTRE PRESCOLAIRE ET PARASCOLAIRE LES PETITS PIEDS INC.,"1165 RAVENSWOOD DR SE  AIRDRIE, AB  T4A 0H3  ",24,view,  587-227-2439
551,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CENTURY DAYCARE,"17 98 LONGVIEW DRIVE  SPRUCE GROVE, AB  T7X 0W3  ",112,view,  780-571-1818
552,DAY CARE (FACILITY-BASED PROGRAM),CENTURY DAYCARE,"17 98 LONGVIEW DRIVE  SPRUCE GROVE, AB  T7X 0W3  ",112,view,  780-571-1818
553,DAY CARE (FACILITY-BASED PROGRAM),CHAMPIONS CHILDCARE,"1521 - 9 AVENUE, SOUTH  LETHBRIDGE, AB  T1J 1W2  ",18,view,  587-315-5723
554,DAY CARE (FACILITY-BASED PROGRAM),CHAPPELLE DAYCARE,"410 CHAPPELLE DRIVE SW  EDMONTON, AB  T6W 0Z3  ",25,view,  780-250-5222
555,DAY CARE (FACILITY-BASED PROGRAM),CHAPTER1 DAYCARE CHINATOWN,"128, 197 - 1 STREET SW  SUITE 107  CALGARY, AB  T2P 4M4  ",75,view,  403-775-9236
556,DAY CARE (FACILITY-BASED PROGRAM),CHAPTER1 DAYCARE ROYAL OAK,"150, 10 ROYAL VISTA DRIVE NW  CALGARY, AB  T3R 0N2  ",64,view,  403-375-7895
557,DAY CARE (FACILITY-BASED PROGRAM),CHARLESWOOD DAY NURSERY LTD.,"385 CAPRI AVENUE NW  CALGARY, AB  T2L 0J5  ",24,view,  403-284-2648
558,PRE-SCHOOL (FACILITY-BASED PROGRAM),CHAUVIN TINY TOTS,"5102 2 AVE NORTH  CHAUVIN, AB  T0B 0V0  ",15,view,  780-842-7159
559,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHESTER RONNING OSCAR,"6206-43 AVE  CAMROSE, AB  T4V 0A7  ",38,view,  780-608-0990
560,PRE-SCHOOL (FACILITY-BASED PROGRAM),CHESTERMERE COMMUNITY PLAYSCHOOL,"201 WEST CHESTERMERE DRIVE  CHESTERMERE, AB  T1X 1B2  ",30,view,  403-273-9208
561,DAY CARE (FACILITY-BASED PROGRAM),CHEZ MADAME PICOLO DAYCARE,"100 - 312 ABASAND DR  FORT MCMURRAY, AB  T9J 1B2  ",67,view,  780-381-1888
562,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHEZ MADAME PICOLO DAYCARE,"100 - 312 ABASAND DR  FORT MCMURRAY, AB  T9J 1B2  ",67,view,  780-381-1888
563,DAY CARE (FACILITY-BASED PROGRAM),CHILD ENRICHMENT CENTRE DAY CARE,"3415 - 8 AVENUE SW  CALGARY, AB  T3C 0E8  ",81,view,  403-240-0400
564,DAY CARE (FACILITY-BASED PROGRAM),CHILD'S GARDEN PRESCHOOL #4 (A),"7102 - 14 AVENUE SW  CALGARY, AB  T3H 4G7  ",20,view,  403-217-5658
565,DAY CARE (FACILITY-BASED PROGRAM),CHILD'S PACE EARLY LEARNING CENTRE,"1107 - 19A AVENUE  COALDALE, AB  T1M 1A4  ",36,view,  403-345-2398
566,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PACE EARLY LEARNING CENTRE,"1107 - 19A AVENUE  COALDALE, AB  T1M 1A4  ",36,view,  403-345-2398
567,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ EUGENE COSTE,"10 HILLGROVE CRES. SW  CALGARY, AB  T2V 3K7  ",58,view,  587-228-4039
568,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ FIRESIDE,"12 FIRESIDE PARKWAY  COCHRANE, AB  T4C 2A3  ",30,view,  403-669-2072
569,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ GLENDALE,"2415 KELWOOD DRIVE SW  CALGARY, AB  T3E 3Z8  ",39,view,  403-970-1940
570,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ GLENMEADOWS,"4931 GROVE HILL RD SW  CALGARY, AB  T3E 4G4  ",60,view,  403-669-2072
571,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ HOLY NAME,"3011 - 35 STREET SW  CALGARY, AB  T3E 2Y7  ",60,view,  587-669-2072
572,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ RALPH MCCALL,"1505 - 1 AVENUE NW  AIRDRIE, AB  T4B 2L9  ",45,view,  587-583-6172
573,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ RANCHEVIEW,"2 SUNDOWN ROAD  COCHRANE, AB  T4C 0H4  ",45,view,  403-669-2072
574,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ ST BENEDICT,"10340 19 ST SW  CALGARY, AB  T2V 1R2  ",45,view,  587-583-6154
575,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ ST DOMINIC,"4820 DALHART ROAD NW  CALGARY, AB  T3A 1C2  ",30,view,  587-583-6158
576,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ ST. LUKE,"1232 NORTHMOUNT DRIVE NW  CALGARY, AB  T2L 0E1  ",100,view,  587-228-9520
577,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ ST. MARGARET,"3320 CAROL DRIVE NW  CALGARY, AB  T2L 0K7  ",30,view,  587-216-6706
578,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ ST. SYLVESTER,"7318 SILVER SPRINGS BLVD NW  CALGARY, AB  T3B 4N1  ",45,view,  403-970-1948
579,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ ST.PIUS,"2312 - 18 STREET NW  CALGARY, AB  T2M 3T5  ",70,view,  587-224-7003
580,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S PLAY OUT OF SCHOOL CARE @ WESTGATE,"150 WESTMINSTER DRIVE SW  CALGARY, AB  T3C 2T3  ",130,view,  403-919-5118
581,DAY CARE (FACILITY-BASED PROGRAM),CHILD'S WORLD DAY CARE CENTRE,"10404 - 111 ST  FAIRVIEW, AB  T0H 1L0  ",74,view,  780-835-2102
582,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILD'S WORLD DAY CARE CENTRE,"10404 - 111 ST  FAIRVIEW, AB  T0H 1L0  ",74,view,  780-835-2102
583,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN CAN SUCCEED INC. - SUNDANCE,"200 SUNMILLS DRIVE SE  CALGARY, AB  T2X 2N9  ",56,view,  403-819-2971
584,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - BANFF TRAIL,"3232 COCHRANE ROAD NW  PLEASE MAIL ALL TO 117 KINCORA COVE  CALGARY, AB  T2M 4J3  ",75,view,  403-220-1797
585,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - BOWCROFT,"3940 - 73 STREET NW  CALGARY, AB  T3B 2L9  ",77,view,  587-578-1557
586,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - BUCHANAN,"3717 CENTRE STREET NORTH  *PLEASE MAIL ALL TO 117 KINCORA  CALGARY, AB  T2E 2Y2  ",49,view,  403-241-3052
587,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - CAMBRIAN HEIGHTS,"640 NORTHMOUNT DRIVE NW  *PLEASE MAIL ALL TO 117 KINCORA  CALGARY, AB  T2K 3J5  ",56,view,  403-289-4466
588,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - CNG,"6625 - 4 STREET NE  CALGARY, AB  T2K 5C7  ",77,view,  403-241-3052
589,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - EVANSTON,"30 EVANSCOVE CIRCLE NW  CALGARY, AB  T3P 0A1  ",77,view,  587-225-4797
590,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - HAWKWOOD,"650 HAWKWOOD BLVD NW  *PLEASE MAIL ALL TO 117 KINCORA  CALGARY, AB  T3G 2V7  ",60,view,  403-241-3052
591,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - HIGHWOOD,"11 HOLMWOOD AVENUE NW  *PLEASE MAIL ALL TO 117 KINCORA  CALGARY, AB  T2K 2G5  ",77,view,  403-241-3052
592,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN COME FIRST ASSOCIATION - NORTH HAVEN,"4922 NORTH HAVEN DRIVE NW  *MAIL ALL TO 117 KINCORA COVE NW*  CALGARY, AB  T2K 2K2  ",70,view,  403-241-3052
593,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN FIRST: EAGLE RIDGE NEST,"285 SANDPIPER ROAD  FORT MCMURRAY, AB  T9K 0K9  ",60,view,  780-743-1106
594,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN OF THE WORLD DAYCARE,"4047 106 STREET  EDMONTON, AB  T6J 3S3  ",66,view,  780-756-3737
595,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN OF THE WORLD DAYCARE,"4047 106 STREET  EDMONTON, AB  T6J 3S3  ",66,view,  780-756-3737
596,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN'S ACADEMY (CENTRE FOR EARLY CHILDHOOD EDUCATION),"3530 91 STREET  EDMONTON, AB  T6E 6P1  ",89,,  780-461-7394
597,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S ACADEMY (CENTRE FOR EARLY CHILDHOOD EDUCATION),"3530 91 STREET  EDMONTON, AB  T6E 6P1  ",89,,  780-461-7394
598,PRE-SCHOOL (FACILITY-BASED PROGRAM),CHILDREN'S AUTISM SERVICES OF EDMONTON CHILDCARE PROGRAM,"17451 103 AVE  EDMONTON, AB  T5S 1J4  ",49,view,  780-495-9235
599,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S AUTISM SERVICES OF EDMONTON CHILDCARE PROGRAM,"17451 103 AVE  EDMONTON, AB  T5S 1J4  ",49,view,  780-495-9235
600,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S CENTRE DEMONSTRATION DAYCARE,"10726 - 106 AVENUE  GRANDE PRAIRIE, AB  T8V 4C4  ",52,view,  780-539-2039
601,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S CHOICE COMMUNITY CHILD CARE SERVICES,"52 DOVERCREST WAY SE  CALGARY, AB  T2B 2L9  ",53,view,  403-273-6360
602,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN'S CHOICE OUT OF SCHOOL PROGRAM,"3133 - 30 AVENUE SE  CALGARY, AB  T2G 4X8  ",56,view,  403-273-6360
603,PRE-SCHOOL (FACILITY-BASED PROGRAM),CHILDREN'S CREATIVE EARLY LEARNING CENTRE,"213 TAMARACK AVE  CRESCENT VALLEY SCHOOL  HINTON, AB  T7V 1T7  ",24,view,  780-865-2569
604,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S CREATIVE LEARNING CENTRE,"300, 910 - 7 AVENUE SW  PLUS 15 LEVEL  CALGARY, AB  T2P 3N8  ",80,view,  403-266-2768
605,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S DAY OUT,"RM 106 10005 84 STREET  ST. KEVIN CATHOLIC SCHOOL  EDMONTON, AB  T6A 3P8  ",20,view,  780-469-0219
606,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S EXPLORE CENTRE,"3914/3916 118 AVENUE  EDMONTON, AB  T5W 0Z9  ",54,view,  780-477-1511
607,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN'S EXPLORE CENTRE,"3914/3916 118 AVENUE  EDMONTON, AB  T5W 0Z9  ",54,view,  780-477-1511
608,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S HOUSE CHILD CARE SOCIETY,"1215 - 4 AVENUE SOUTH  LETHBRIDGE, AB  T1J 0P9  ",57,view,  403-328-5553
609,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S PLACE DAY CARE,"200, 115 - 2 AVENUE SW  CALGARY, AB  T2P 3C6  ",80,view,  403-262-4433
610,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S PLAYCE CHILD CARE CENTRE,"11844 103 STREET  EDMONTON, AB  T5G 2J2  ",73,view,  780-479-0496
611,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN'S PLAYCE CHILD CARE CENTRE,"11844 103 STREET  EDMONTON, AB  T5G 2J2  ",73,view,  780-479-0496
612,DAY CARE (FACILITY-BASED PROGRAM),CHILDREN'S WORLD CHILD CARE CENTRE,"1 5115 45 STREET  BARRHEAD, AB  T7N 1J2  ",78,view,  780-674-2510
613,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDREN'S WORLD CHILD CARE CENTRE,"1 5115 45 STREET  BARRHEAD, AB  T7N 1J2  ",78,view,  780-674-2510
614,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHILDSPLACE LEARNING CENTRES LTD.,"12 ARBOUR LAKE DRIVE NW  CALGARY, AB  T3G 4A3  ",28,view,  403-241-6232
615,PRE-SCHOOL (FACILITY-BASED PROGRAM),CHILDSPLACE LEARNING CENTRES LTD.,"12 ARBOUR LAKE DRIVE NW  CALGARY, AB  T3G 4A3  ",28,view,  403-241-6232
616,PRE-SCHOOL (FACILITY-BASED PROGRAM),CHRIST CHURCH PRESCHOOL CENTRE,"3602 - 8 STREET SW  CALGARY, AB  T2T 3A7  ",20,view,  403-243-4680
617,DAY CARE (FACILITY-BASED PROGRAM),CHRISTINA GORDON BETHEL CHILDCARE,"106 PARSON'S CREEK DRIVE  FORT MCMURRAY, AB  T9K 0H6  ",50,view,  780-880-6510
618,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHRISTINA GORDON BETHEL CHILDCARE,"106 PARSON'S CREEK DRIVE  FORT MCMURRAY, AB  T9K 0H6  ",50,view,  780-880-6510
619,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CHRISTOPHER ROBIN'S PLAYHOUSE & CHILDCARE CENTER,"609 - 4 AVENUE NORTH  COCHRANE, AB  T4C 2E5  ",77,view,  403-851-5010
620,DAY CARE (FACILITY-BASED PROGRAM),CITY KIDZ DAYCARE,"#101, 10018 105 STREET NW  EDMONTON, AB  T5J 1C3  ",56,view,  780-701-3421
621,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CITY KIDZ DAYCARE,"#101, 10018 105 STREET NW  EDMONTON, AB  T5J 1C3  ",56,view,  780-701-3421
622,DAY CARE (FACILITY-BASED PROGRAM),CITY WEST CHILDCARE,"9915 148 STREET  EDMONTON, AB  T5N 3G1  ",100,view,  780-451-5691
623,PRE-SCHOOL (FACILITY-BASED PROGRAM),CLAIRMONT PLAYSCHOOL,"10407 - 97 STREET  CLAIRMONT, AB  T0H 0W0  ",24,view,  780-567-3553
624,DAY CARE (FACILITY-BASED PROGRAM),CLARESHOLM CHILD CARE SOCIETY,"5895A 8TH STREET  CLARESHOLM, AB  T0L 0T0  ",47,view,  403-625-4543
625,DAY CARE (FACILITY-BASED PROGRAM),CLAREVIEW CHILD DEVELOPMENT CENTRE,"14063 VICTORIA TRAIL  EDMONTON, AB  T5Y 2B6  ",116,view,  780-456-6265
626,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLAREVIEW CHILD DEVELOPMENT CENTRE,"14063 VICTORIA TRAIL  EDMONTON, AB  T5Y 2B6  ",116,view,  780-456-6265
627,PRE-SCHOOL (FACILITY-BASED PROGRAM),CLEAR VISTA PRESCHOOL,"4510 - 47 STREET  WETASKIWIN, AB  T9A 1B8  ",19,view,  780-361-9433
628,DAY CARE (FACILITY-BASED PROGRAM),CLEAR WATER ACADEMY DAY CARE PROGRAM,"3910 QUESNAY WOOD DRIVE SW  CALGARY, AB  T3E 8G1  ",77,view,  403-217-8448
629,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLEAR WATER ACADEMY DAY CARE PROGRAM,"3910 QUESNAY WOOD DRIVE SW  CALGARY, AB  T3E 8G1  ",77,view,  403-217-8448
630,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLEARWATER BOYS' AND GIRLS' CLUB,"4928 49 STREET  ROCKY MOUNTAIN HOUSE, AB  T4T 1C2  ",35,,  403-845-5609
631,DAY CARE (FACILITY-BASED PROGRAM),CLEVER CENTRE UNIVERSITY DISTRICT,"4101 UNIVERSITY AVENUE NW  CALGARY, AB  T3B 6K3  ",150,view,  587-391-7573
632,DAY CARE (FACILITY-BASED PROGRAM),CLEVER CUBS PRESCHOOL ACADEMY INC.,"UNIT 205, 35 CRANFORD WAY SE  CALGARY, AB  T3M 3A9  ",34,view,  403-850-1939
633,DAY CARE (FACILITY-BASED PROGRAM),CLEVER DAYCARE 22,"22, 4604 - 37 STREET SW  CALGARY, AB  T3E 3C9  ",44,view,  403-474-4157
634,DAY CARE (FACILITY-BASED PROGRAM),CLEVER DAYCARE ASPEN INC.,"104, 350 ASPEN GLEN LANDING SW  CALGARY, AB  T3H 0N5  ",64,view,  403-474-4157
635,DAY CARE (FACILITY-BASED PROGRAM),CLEVER DAYCARE LTD.,"3131 - 45 AVENUE SW  CALGARY, AB  T3E 8A7  ",147,view,  403-474-4157
636,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLOWN AROUN' BEFORE AND AFTER SCHOOL CARE,"2409 - 50 STREET NE  CALGARY, AB  T1Y 1Z5  ",50,view,  403-275-4098
637,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLUB DE DEVOIRS,"625 - 21 STREET SOUTH  LETHBRIDGE, AB  T1J 5E4  ",40,view,  403-330-4507
638,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLUBHOUSE OUT OF SCHOOL CARE,"4705 - 47 AVENUE  WETASKIWIN, AB  T9A 0J6  ",82,view,  780-362-0582
639,PRE-SCHOOL (FACILITY-BASED PROGRAM),CLYMONT PLAYSCHOOL,"LOT 1 PLAN 1299 TR  COUNTY OF PARKLAND, AB  T0E 2N0  ",20,view,  780-504-1041
640,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),COALBANKS ELEMENTARY SCHOOL-BLAST PROGRAM,"249 COALBANKS BLVD, WEST  LETHBRIDGE, AB  T1K 4V4  ",127,view,  403-382-9613
641,PRE-SCHOOL (FACILITY-BASED PROGRAM),COCHRANE CREATIVE PLAYSCHOOL SOCIETY,"128 - 1 STREET EAST  COCHRANE, AB  T4C 1Z3  ",18,view,  403-651-7664
642,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),COCHRANE VALLEY MONTESSORI SCHOOL,"BAY 5/6, 205 - 1 STREET EAST  COCHRANE, AB  T4C 1X6  ",18,view,  403-710-3885
643,DAY CARE (FACILITY-BASED PROGRAM),COCHRANE VALLEY MONTESSORI SCHOOL,"BAY 5/6, 205 - 1 STREET EAST  COCHRANE, AB  T4C 1X6  ",18,view,  403-710-3885
644,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CODED MINDS - BANTING AND BEST ISTEAM LAB,"1819 - 66 AVENUE SE  CALGARY, AB  T2C 2K5  ",60,view,  403-797-2528
645,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CODED MINDS - ERIC HARVIE ISTEAM LAB,"357 TUSCANY DRIVE NW  CALGARY, AB  T3L 3C9  ",90,view,  403-837-4331
646,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CODED MINDS - RAMSAY ISTEAM LAB,"2223 SPILLER ROAD SE  CALGARY, AB  T2G 4G9  ",70,view,  403-796-2960
647,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CODED MINDS - SIMONS VALLEY ISTEAM LAB,"375 SANDARAC DRIVE NW  CALGARY, AB  T3K 4B2  ",60,view,  403-463-1693
648,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CODED MINDS - TUSCANY ISTEAM LAB,"990 TUSCANY DRIVE NW  CALGARY, AB  T3L 2T4  ",90,view,  403-836-0768
649,PRE-SCHOOL (FACILITY-BASED PROGRAM),COIN DES CURIEUX DAYCARE,"9725 99 ST  PLAMONDON, AB  T0A 2T0  ",26,view,  780-815-0791
650,DAY CARE (FACILITY-BASED PROGRAM),COIN DES CURIEUX DAYCARE,"9725 99 ST  PLAMONDON, AB  T0A 2T0  ",26,view,  780-815-0791
651,PRE-SCHOOL (FACILITY-BASED PROGRAM),COLD LAKE ELEMENTARY OUT OF SCHOOL CARE,"803 16 TH AVE.  COLD LAKE, AB  T9M 1M2  ",50,view,  780-594-3107
652,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),COLD LAKE ELEMENTARY OUT OF SCHOOL CARE,"803 16 TH AVE.  COLD LAKE, AB  T9M 1M2  ",50,view,  780-594-3107
