Type,Name,Location,Capacity,Phone
DAY CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (AVONMORE),"7835 76 AVENUE NW  EDMONTON, AB  T6C 2N1",43,587-415-4945
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (AVONMORE),"7835 76 AVENUE NW  EDMONTON, AB  T6C 2N1",43,587-415-4945
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (BELGRAVIA),"7302 118 STREET  EDMONTON, AB  T6G 1S4",47,780-278-2672
DAY CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (HOLY SPIRIT),"11223 51 AVENUE  EDMONTON, AB  T6H 0L5",34,780-435-4532
DAY CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (JAN REIMER),"360 ORCHARDS BOULEVARD SW  JAN REIMER SCHOOL  EDMONTON, AB  T6X 2E1",74,780-435-4532
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (JAN REIMER),"360 ORCHARDS BOULEVARD SW  JAN REIMER SCHOOL  EDMONTON, AB  T6X 2E1",74,780-435-4532
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (LENDRUM),"11330 54 AVENUE  LENDRUM ELEMENTARY SCHOOL  EDMONTON, AB  T6H 3V8",66,780-435-4532
DAY CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (MALMO),"4716 115 STREET  MALMO ELEMENTARY SCHOOL  EDMONTON, AB  T6H 3N8",80,780-436-3002
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (MALMO),"4716 115 STREET  MALMO ELEMENTARY SCHOOL  EDMONTON, AB  T6H 3N8",80,780-436-3002
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (SHAUNA MAE SENECA),"2130 WONNACOTT WAY SW  EDMONTON, AB  T6X 2C1",51,780-914-2628
DAY CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (ST. STANISLAUS),"3855 114 STREET  ST STANISLAUS ELEMENTARY SCHOOL  EDMONTON, AB  T6J 1M3",56,780-391-1331
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION (ST. STANISLAUS),"3855 114 STREET  ST STANISLAUS ELEMENTARY SCHOOL  EDMONTON, AB  T6J 1M3",56,780-391-1331
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION - GARTH WORTHINGTON,"351 CHAPPELLE DRIVE SW  EDMONTON, AB  T6W 2Z2",72,587-415-4945
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDMONTON REGION CHILD CARE ASSOCIATION - WINDSOR PARK,"11733 87 AVENUE  EDMONTON, AB  T6G 0Y4",43,587-415-4945
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDSON EARLY LEARNING & CHILD CARE,"5501-3RD AVE  EDSON, AB  T7E 1L5",101,780-723-6444
DAY CARE (FACILITY-BASED PROGRAM),EDSON EARLY LEARNING & CHILD CARE,"5501-3RD AVE  EDSON, AB  T7E 1L5",101,780-723-6444
DAY CARE (FACILITY-BASED PROGRAM),EDU-CARE DAY CARE,"15641 96 AVENUE  EDMONTON, AB  T5P 2R7",94,780-483-4140
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDU-CARE DAY CARE,"15641 96 AVENUE  EDMONTON, AB  T5P 2R7",94,780-483-4140
PRE-SCHOOL (FACILITY-BASED PROGRAM),EDUCARE EARLY INTERVENTION,"9803 KING STREET  FORT MCMURRAY, AB  T9H 1L3",25,780-743-3464
DAY CARE (FACILITY-BASED PROGRAM),EDUCARE LEARNING AND CHILD CARE SERVICES,"320A SADDLEBACK ROAD  EDMONTON, AB  T6J 4R7",33,780-430-7166
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EDUCARE LEARNING AND CHILD CARE SERVICES,"320A SADDLEBACK ROAD  EDMONTON, AB  T6J 4R7",33,780-430-7166
DAY CARE (FACILITY-BASED PROGRAM),EDUCENTRE EARLY LEARNING,"6311 TREGILLUS STREET NW  CALGARY, AB  T2K 3T4",70,403-275-0166
PRE-SCHOOL (FACILITY-BASED PROGRAM),ELIZABETH SETTLEMENT ABORIGINAL HEADSTART,"NW-28-60-1-W4 BLK-1 LOT 4 & 5 PL#900149  ELIZABETH METIS SETT, AB  T9M 1P1",21,780-594-4559
DAY CARE (FACILITY-BASED PROGRAM),ELLERSLIE CHILDCARE,"6807/6811/6815 ELERSLIE ROAD SW  EDMONTON, AB  T6X 2A1",100,587-710-0951
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ELLERSLIE CHILDCARE,"6807/6811/6815 ELERSLIE ROAD SW  EDMONTON, AB  T6X 2A1",100,587-710-0951
PRE-SCHOOL (FACILITY-BASED PROGRAM),ELLERSLIE ROAD PRE-SCHOOL,"143/144/145 - 10603 ELLERSLIE ROAD  EDMONTON, AB  T6W 1A1",55,780-988-5515
PRE-SCHOOL (FACILITY-BASED PROGRAM),ELLERSLIE ROAD PRESCHOOL GRACE POINT,"720 - 62 STREET  EDMONTON, AB  T6X 0G3",35,780-466-4689
DAY CARE (FACILITY-BASED PROGRAM),ELLWOOD DAYCARE,"204 91 ST SW  EDMONTON, AB  T6X 1W8",98,780-721-9988
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ELLWOOD DAYCARE,"204 91 ST SW  EDMONTON, AB  T6X 1W8",98,780-721-9988
DAY CARE (FACILITY-BASED PROGRAM),ELM (EARLY LEARNING AT MACEWAN),"ROOM 7-153 10700 104 AVENUE  EDMONTON, AB  T5J 4S2",48,780-497-5195
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ELMWOOD BEFORE & AFTER SCHOOL CHILD CARE,"16325 83 AVENUE  ELMWOOD SCHOOL  EDMONTON, AB  T5R 3V8",44,780-489-2220
PRE-SCHOOL (FACILITY-BASED PROGRAM),ELNORA PLAYSCHOOL,"100 PRINCESS STREET  ELNORA SCHOOL  ELNORA, AB  T0M 0Y0",16,403-773-3624
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ELSIE YANIK OUT OF SCHOOL CARE,"331 CALLEN DRIVE  FORT MCMURRAY, AB  T9K 0X6",28,780-381-5914
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EMELIA'S CHILD DEVELOPMENT CENTER,"#102 & #202-100 CENTER STREET  ST. ALBERT, AB  T8N 3W2",139,780-458-5355
DAY CARE (FACILITY-BASED PROGRAM),EMELIA'S CHILD DEVELOPMENT CENTER,"#102 & #202-100 CENTER STREET  ST. ALBERT, AB  T8N 3W2",139,780-458-5355
DAY CARE (FACILITY-BASED PROGRAM),ENLIGHTENED BEGINNINGS,"5007 47 AVENUE  GRIMSHAW, AB  T0H 1W0",114,780-617-0137
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ENLIGHTENED BEGINNINGS,"5007 47 AVENUE  GRIMSHAW, AB  T0H 1W0",114,780-617-0137
DAY CARE (FACILITY-BASED PROGRAM),ENOCH DAYCARE,"41 54 SW22 52 26 W4  ENOCH, AB  T7X 3Y3",66,780-470-5688
DAY CARE (FACILITY-BASED PROGRAM),ERIN RIDGE CHILDREN'S ACADEMY,"#740 - 710 1115 ST. ALBERT TRAIL  ST. ALBERT, AB  T8N 7X6",82,780-983-2563
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ERIN RIDGE CHILDREN'S ACADEMY,"#740 - 710 1115 ST. ALBERT TRAIL  ST. ALBERT, AB  T8N 7X6",82,780-983-2563
PRE-SCHOOL (FACILITY-BASED PROGRAM),ERMINESKIN COMMUNITY PRESCHOOL,"10709 - 32A AVENUE  EDMONTON, AB  T6J 4A6",18,780-438-6623
DAY CARE (FACILITY-BASED PROGRAM),ESG CHILD PLAYCARE CENTER,"111 COVEPARK SQUARE NE  CALGARY, AB  T3K 5W9",174,403-452-7488
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ESG CHILD PLAYCARE CENTER,"111 COVEPARK SQUARE NE  CALGARY, AB  T3K 5W9",174,403-452-7488
PRE-SCHOOL (FACILITY-BASED PROGRAM),EVANSVIEW JUNIOR KINDERGARTEN,"4605-50TH STREET  EVANSBURG, AB  T0E 0T0",29,780-727-3623
DAY CARE (FACILITY-BASED PROGRAM),EVERGREEN - SHAWNEE DAYCARE LTD,"1436 JAMES MCKEVITT ROAD SW  CALGARY, AB  T2Y 2W9",56,403-829-7930
DAY CARE (FACILITY-BASED PROGRAM),EVERGREEN CHILD CARE,"167 EVERMEADOW AVENUE SW  CALGARY, AB  T2Y 4X1",20,403-690-3720
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EVERGREEN CHILD CARE,"167 EVERMEADOW AVENUE SW  CALGARY, AB  T2Y 4X1",20,403-690-3720
DAY CARE (FACILITY-BASED PROGRAM),EXPANDING IMAGINATIONS CHILD CARE,"1188 - 137 AVENUE SE  CALGARY, AB  T2J 6T6",90,403-251-6021
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EXPANDING IMAGINATIONS CHILD CARE,"1188 - 137 AVENUE SE  CALGARY, AB  T2J 6T6",90,403-251-6021
DAY CARE (FACILITY-BASED PROGRAM),EXPLORE & DISCOVER CHILD CARE CENTER,"143 ERITH DRIVE  HINTON, AB  T7V 1P4",100,780-817-0329
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),EXPLORE & DISCOVER CHILD CARE CENTER,"143 ERITH DRIVE  HINTON, AB  T7V 1P4",100,780-817-0329
DAY CARE (FACILITY-BASED PROGRAM),EXPLORING WONDERS DAYCARE INC.,"1040-1ST AVE  WAINWRIGHT, AB  T9W 1G9",70,780-842-3600
DAY CARE (FACILITY-BASED PROGRAM),FABLE CHILD CARE CENTER,"10010 101 AVE  MORINVILLE, AB  T8R 1R1",83,780-572-2882
PRE-SCHOOL (FACILITY-BASED PROGRAM),FAIRVIEW AND DISTRICT PLAYSCHOOL ASSOCIATION,"10208-114 STREET  ST THOMAS MOORE SCHOOL  FAIRVIEW, AB  T0H 1L0",19,780-834-7223
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FALCONRIDGE/CASTLERIDGE COMMUNITY ASSOCIATION - BUZZ CLUB,"95 FALSHIRE DRIVE NE  CALGARY, AB  T3J 1P7",65,403-280-4422
PRE-SCHOOL (FACILITY-BASED PROGRAM),FALCONRIDGE/CASTLERIDGE COMMUNITY ASSOCIATION - BUZZ CLUB,"95 FALSHIRE DRIVE NE  CALGARY, AB  T3J 1P7",65,403-280-4422
DAY CARE (FACILITY-BASED PROGRAM),FAMILY FIRST CREATIVE LEARNING CENTRE INC.,"204, 555 - 11 AVENUE SW  CALGARY, AB  T2R 1P6",100,587-352-5383
DAY CARE (FACILITY-BASED PROGRAM),FAMILY Y.M.C.A. JOHN MILLAR CHILD DEVELOPMENT CENTRE,"1721 21 STREET SE  MEDICINE HAT, AB  T1A 2C3",61,403-527-9444
PRE-SCHOOL (FACILITY-BASED PROGRAM),"FARMS, FURBABIES & FRIENDS INC.","2879 BOTTERILL CR  RED DEER, AB  T4R 0T9",24,403-505-5460
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FATHER HENRI VOISIN SCHOOL AGE PROGRAM,"60 CLEARVIEW DRIVE  RED DEER, AB  T4P 0K3",42,403-347-7973
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FATHER LEDUC CATHOLIC SCHOOL'S OUT OF SCHOOL CARE,"400 SHEPPARD BLVD  FATHER LEDUC SCHOOL  LEDUC, AB  T9E 1C1",60,780-986-0045
PRE-SCHOOL (FACILITY-BASED PROGRAM),FINGERPRINTS DISCOVERY PRESCHOOL,"4522 54 AVENUE  RIMBEY, AB  T0C 2J0",20,403-843-4790
DAY CARE (FACILITY-BASED PROGRAM),FINGERPRINTS DISCOVERY PRESCHOOL,"4522 54 AVENUE  RIMBEY, AB  T0C 2J0",20,403-843-4790
DAY CARE (FACILITY-BASED PROGRAM),FIRST CHOICE DAYCARE,"12506 118 AVENUE  EDMONTON, AB  T5L 2K6",85,780-452-0587
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST CHOICE DAYCARE,"12506 118 AVENUE  EDMONTON, AB  T5L 2K6",85,780-452-0587
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST CHOICE OSC SHERBROOKE,"12214 128 STREET  ST. PIUS X SCHOOL  EDMONTON, AB  T5L 1C5",27,587-524-5234
DAY CARE (FACILITY-BASED PROGRAM),FIRST FLIGHTS EARLY LEARNING CENTER,"#674 KINGSWAY RD.  COLD LAKE, AB  T9M 2C3",98,780-594-4803
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST FLIGHTS OSC,"#54 QUEENSWAY & TAMARAC CRES.  COLD LAKE, AB  T9M 2C3",116,780-594-6006
PRE-SCHOOL (FACILITY-BASED PROGRAM),FIRST FLIGHTS PRESCHOOL,"BUILDING 674  KINGSWAY ROAD  COLD LAKE, AB  T9M 2C3",40,780-594-6006
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST SMILES CHILD CARE,"301 A 10TH STREET  COLD LAKE, AB  T9M 1A5",60,780-639-1661
DAY CARE (FACILITY-BASED PROGRAM),FIRST SMILES CHILD CARE,"301 A 10TH STREET  COLD LAKE, AB  T9M 1A5",60,780-639-1661
DAY CARE (FACILITY-BASED PROGRAM),FIRST STEP DAYCARE,"UNIT 101 9810 137 AVENUE  EDMONTON, AB  T5E 6W1",84,780-200-5149
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST STEP DAYCARE,"UNIT 101 9810 137 AVENUE  EDMONTON, AB  T5E 6W1",84,780-200-5149
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST STEP DAYCARE & AFTERSCHOOL DOWNTOWN,"10304 108 STREET  EDMONTON, AB  T5J 1L9",62,780-249-2210
DAY CARE (FACILITY-BASED PROGRAM),FIRST STEP DAYCARE & AFTERSCHOOL DOWNTOWN,"10304 108 STREET  EDMONTON, AB  T5J 1L9",62,780-249-2210
PRE-SCHOOL (FACILITY-BASED PROGRAM),FIRST STEPS & BEYOND DAYCARE,"4910 59 STREET  RED DEER, AB  T4N 2N1",38,403-347-0022
DAY CARE (FACILITY-BASED PROGRAM),FIRST STEPS & BEYOND DAYCARE,"4910 59 STREET  RED DEER, AB  T4N 2N1",38,403-347-0022
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST STEPS & BEYOND DAYCARE,"4910 59 STREET  RED DEER, AB  T4N 2N1",38,403-347-0022
DAY CARE (FACILITY-BASED PROGRAM),FIRST STEPS ACADEMY,"2122, 8561 - 8A AVENUE SW  CALGARY, AB  T3H 0V5",102,403-460-8308
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST STEPS ACADEMY,"2122, 8561 - 8A AVENUE SW  CALGARY, AB  T3H 0V5",102,403-460-8308
PRE-SCHOOL (FACILITY-BASED PROGRAM),FIRST STEPS KIDS PRESCHOOL AND YOUTH CENTRE (BEFORE & AFTER CARE),"224 20 SADDLESTONE DR NE  CALGARY, AB  T3J 0W8",20,403-830-5008
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIRST STEPS KIDS PRESCHOOL AND YOUTH CENTRE (BEFORE & AFTER CARE),"224 20 SADDLESTONE DR NE  CALGARY, AB  T3J 0W8",20,403-830-5008
DAY CARE (FACILITY-BASED PROGRAM),FIRST STEPS LEARNING CENTRE DAYCARE,"4920 48 STREET  CAMROSE, AB  T4V 4L5",64,780-672-4691
PRE-SCHOOL (FACILITY-BASED PROGRAM),FISHING LAKE BRIGHT STAR SCHOOL (ABORIGINAL HEAD START),"SE-17-57-24 PLAN 900 181 BLOCK 7 LOT 3-5  FISHING LAKE METIS S, AB  T0A 3G0",30,780-943-2661
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FISHING LAKE OUT OF SCHOOL CARE,"SE-17-57-2-4 LOT 4 BLOCK 4  FISHING LAKE METIS S, AB  T0A 3G0",15,780-943-2777
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FIT KIDS CARE,"108, 8060 SILVER SPRINGS BLVD NW  CALGARY, AB  T3B 5H6",65,403-288-1555
DAY CARE (FACILITY-BASED PROGRAM),FLAGSTAFF KIDS CONNECTION DAYCARE,"5006 47 STREET  KILLAM, AB  T0B 2L0",34,780-385-0672
DAY CARE (FACILITY-BASED PROGRAM),FLEDGLINGS EDUCARE CENTRE,"#4, 1110 CANTERBURY DRIVE SW  CALGARY, AB  T2W 3P5",66,403-238-2441
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FLEDGLINGS EDUCARE CENTRE,"#4, 1110 CANTERBURY DRIVE SW  CALGARY, AB  T2W 3P5",66,403-238-2441
PRE-SCHOOL (FACILITY-BASED PROGRAM),FOOTHILLS ALLIANCE PRESCHOOL SOCIETY,"333 EDGEPARK BLVD NW  CALGARY, AB  T3A 4K4",48,403-547-2193
PRE-SCHOOL (FACILITY-BASED PROGRAM),FOOTHILLS CREATIVE BEGINNINGS PRESCHOOL,"2208, 120 - 5 AVENUE WEST  COCHRANE, AB  T4C 1X3",20,403-239-8072
DAY CARE (FACILITY-BASED PROGRAM),FOOTPRINTS FOR LEARNING PRESCHOOL,"101, 2926 KINGSVIEW BLVD SE  AIRDRIE, AB  T4A 0C9",24,403-988-8804
PRE-SCHOOL (FACILITY-BASED PROGRAM),FOOTSTEPS PRESCHOOL,"101 RANCHEHOUSE ROAD  (SANDSTONE ROOM)  COCHRANE, AB  T4C 2K8",21,403-606-4198
DAY CARE (FACILITY-BASED PROGRAM),FOREST HEIGHTS CHILDCARE & OSC,"10118 79 STREET  EDMONTON, AB  T6A 3G3",47,780-490-5310
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FOREST HEIGHTS CHILDCARE & OSC,"10118 79 STREET  EDMONTON, AB  T6A 3G3",47,780-490-5310
PRE-SCHOOL (FACILITY-BASED PROGRAM),FORESTBURG LEARN AND PLAYSCHOOL,"4914 46TH AVENUE  FORESTBURG, AB  T0B 1N0",24,780-582-3792
PRE-SCHOOL (FACILITY-BASED PROGRAM),FORT ASSINIBOINE MOMS & TOTS PRESCHOOL,"34A STATE AVE  FORT ASSINIBOINE, AB  T0G 1A0",22,780-584-3751
DAY CARE (FACILITY-BASED PROGRAM),FORT CHIPEWYAN COMMUNITY DAYCARE,"128 CARDINAL AVENUE  FORT CHIPEWYAN, AB  T0P 1B0",40,780-697-0126
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FORT CHIPEWYAN COMMUNITY DAYCARE,"128 CARDINAL AVENUE  FORT CHIPEWYAN, AB  T0P 1B0",40,780-697-0126
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FORT CROSSING DAYCARE & OSC,"12833 FORT ROAD  EDMONTON, AB  T5A 2K5",77,780-983-0392
DAY CARE (FACILITY-BASED PROGRAM),FORT CROSSING DAYCARE & OSC,"12833 FORT ROAD  EDMONTON, AB  T5A 2K5",77,780-983-0392
PRE-SCHOOL (FACILITY-BASED PROGRAM),FORT MACLEOD PRESCHOOL PROGRAM,"1905 - 5TH AVE  FORT MACLEOD, AB  T0L 0Z0",24,403-894-3391
PRE-SCHOOL (FACILITY-BASED PROGRAM),FORT MCMURRAY MONTESSORI ACADEMY PRESCHOOL,"190 TAMARACK WAY  FORT MCMURRAY, AB  T9K 1A1",48,780-804-3714
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FORT ROAD DAY CARE,"176/204/208 MANNING CROSSING  EDMONTON, AB  T5A 5A1",101,780-705-0144
DAY CARE (FACILITY-BASED PROGRAM),FORT ROAD DAY CARE,"176/204/208 MANNING CROSSING  EDMONTON, AB  T5A 5A1",101,780-705-0144
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FORT SASKATCHEWAN BOYS & GIRLS CLUB,"10090 93 AVE  FORT SASKATCHEWAN, AB  T8L 1N4",150,780-992-0103
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FORT SASKATCHEWAN CHILDCARE,"9907 103 STREET  FORT SASKATCHEWAN, AB  T8L 2C8",98,780-589-2490
DAY CARE (FACILITY-BASED PROGRAM),FORT SASKATCHEWAN CHILDCARE,"9907 103 STREET  FORT SASKATCHEWAN, AB  T8L 2C8",98,780-589-2490
PRE-SCHOOL (FACILITY-BASED PROGRAM),FORT VERMILION HEAD START,"5109 - 43 STREET  FORT VERMILION, AB  T0H 1N0",15,780-927-4144
PRE-SCHOOL (FACILITY-BASED PROGRAM),FOUNDATIONS PRE-KINDERGARTEN PROGRAM,"4762 50TH STREET  DRAYTON VALLEY, AB  T7A 1P1",20,780-542-5544
PRE-SCHOOL (FACILITY-BASED PROGRAM),FOX CREEK PLAYSCHOOL,"501 8TH STREET  FOX CREEK, AB  T0H 1P0",23,780-622-2234
DAY CARE (FACILITY-BASED PROGRAM),FR. BEAUREGARD BETHEL CHILDCARE,"255 ATHABASCA AVE  FORT MCMURRAY, AB  T9J 1G7",33,780-607-9249
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FR. BEAUREGARD BETHEL CHILDCARE,"255 ATHABASCA AVE  FORT MCMURRAY, AB  T9J 1G7",33,780-607-9249
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FR. TURCOTTE BETHEL CHILDCARE,"8553 FRANKLIN AVENUE  FORT MCMURRAY, AB  T9H 4V3",27,780-750-7700
DAY CARE (FACILITY-BASED PROGRAM),FR. TURCOTTE BETHEL CHILDCARE,"8553 FRANKLIN AVENUE  FORT MCMURRAY, AB  T9H 4V3",27,780-750-7700
DAY CARE (FACILITY-BASED PROGRAM),FRANKLIN CHILDREN'S CENTRE SOCIETY,"UNIT 102, 1925 - 18 AVENUE NE  CALGARY, AB  T2E 7T8",35,403-204-5633
DAY CARE (FACILITY-BASED PROGRAM),FRASER COMMUNITY CHILD CARE CENTRE,"2611/25 151 AVENUE  EDMONTON, AB  T5Y 2M4",97,780-476-2591
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FRASER COMMUNITY CHILD CARE CENTRE,"2611/25 151 AVENUE  EDMONTON, AB  T5Y 2M4",97,780-476-2591
DAY CARE (FACILITY-BASED PROGRAM),FREE SPIRITS CHILDCARE INCORPORATED,"5024 50A STREET  SYLVAN LAKE, AB  T4S 1E1",13,403-392-1282
DAY CARE (FACILITY-BASED PROGRAM),FREE TO BE KIDZ EARLY LEARNING CENTER,"732 - 55 AVENUE SW  CALGARY, AB  T2V 0G3",24,587-287-8907
DAY CARE (FACILITY-BASED PROGRAM),FRIENDLY FOREST CHILDCARE CENTRE,"16833 109 STREET  EDMONTON, AB  T5X 2R5",81,780-448-0401
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FRIENDLY FOREST CHILDCARE CENTRE,"16833 109 STREET  EDMONTON, AB  T5X 2R5",81,780-448-0401
DAY CARE (FACILITY-BASED PROGRAM),FRIENDLY FROG DAYCARE,"601 HERMITAGE ROAD  EDMONTON, AB  T5A 4M2",143,780-406-6665
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FRIENDLY FROG DAYCARE,"601 HERMITAGE ROAD  EDMONTON, AB  T5A 4M2",143,780-406-6665
DAY CARE (FACILITY-BASED PROGRAM),FRIENDS CLUB CHILD CARE,"1078 STRATHCONA DRIVE  WESTBORO ELEMENTARY SCHOOL  SHERWOOD PARK, AB  T8A 0Z9",77,780-707-4481
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FRIENDS CLUB CHILD CARE,"1078 STRATHCONA DRIVE  WESTBORO ELEMENTARY SCHOOL  SHERWOOD PARK, AB  T8A 0Z9",77,780-707-4481
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FRIENDS CLUB CHILD CARE AT NEW HORIZONS,"1000 STRATHCONA DRIVE  NEW HORIZONS SCHOOL  SHERWOOD PARK, AB  T8A 3R6",29,780-707-4481
DAY CARE (FACILITY-BASED PROGRAM),FRIENDS CLUB CHILD CARE AT NEW HORIZONS,"1000 STRATHCONA DRIVE  NEW HORIZONS SCHOOL  SHERWOOD PARK, AB  T8A 3R6",29,780-707-4481
PRE-SCHOOL (FACILITY-BASED PROGRAM),FRIENDS OF PLAYSCHOOL,"4520-48 AVENUE  ST. PAUL, AB  T0A 3A0",30,780-645-3537
PRE-SCHOOL (FACILITY-BASED PROGRAM),FULHAM SCHOOL PREKINDERGARTEN,"55425 HWY 32  YELLOWHEAD COUNTY, AB  T7E 3S6",24,780-693-2186
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FULTON AFTER SCHOOL AT HARDISTY,"10534 62 STREET  HARDISTY ELEMENTARY SCHOOL  EDMONTON, AB  T6A 2M3",35,780-965-4383
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FULTON AFTER SCHOOL CARE,"10310 56 STREET  FULTON PLACE SCHOOL  EDMONTON, AB  T6A 2J2",31,780-465-4383
PRE-SCHOOL (FACILITY-BASED PROGRAM),FULTON CHILD CARE CENTRE,"10310 56 STREET  FULTON PLACE SCHOOL  EDMONTON, AB  T6A 2J2",132,780-465-4383
DAY CARE (FACILITY-BASED PROGRAM),FULTON CHILD CARE CENTRE,"10310 56 STREET  FULTON PLACE SCHOOL  EDMONTON, AB  T6A 2J2",132,780-465-4383
PRE-SCHOOL (FACILITY-BASED PROGRAM),FUN 2 LEARN PRESCHOOL LTD.,"5511 BAROC ROAD NW  CALGARY, AB  T3A 4R1",21,403-239-2033
DAY CARE (FACILITY-BASED PROGRAM),FUN 4 KIDZ DAYCARE,"8048 167 AVENUE  EDMONTON, AB  T5Z 0E5",97,587-497-1040
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FUN 4 KIDZ DAYCARE,"8048 167 AVENUE  EDMONTON, AB  T5Z 0E5",97,587-497-1040
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FUN KIDS CLUB CALGARY,"5600 CENTRE STREET N  CALGARY, AB  T2K 0T3",80,403-774-7427
DAY CARE (FACILITY-BASED PROGRAM),FUN STATION DAYCARE,"6950/6952/6954 -76 AVE NW  EDMONTON, AB  T6B 2R2",72,780-802-2032
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FUN STATION DAYCARE,"6950/6952/6954 -76 AVE NW  EDMONTON, AB  T6B 2R2",72,780-802-2032
PRE-SCHOOL (FACILITY-BASED PROGRAM),FUN WITH FRENCH PRESCHOOL,"9607 SHERRIDON DRIVE  ECOLE PARC ELEMENTAIRE  FORT SASKATCHEWAN, AB  T8L 1L7",20,780-716-7678
DAY CARE (FACILITY-BASED PROGRAM),FUNSHINE CHILD DEVELOPMENT CENTRE,"5219-50 STREET  MUNDARE, AB  T0B 3H0",40,780-764-2272
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FUNSHINE CHILD DEVELOPMENT CENTRE,"5219-50 STREET  MUNDARE, AB  T0B 3H0",40,780-764-2272
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),FUTURE SCHOLARS DAYCARE,"8030 118 AVENUE  EDMONTON, AB  T5B 0R8",77,780-756-1920
DAY CARE (FACILITY-BASED PROGRAM),FUTURE SCHOLARS DAYCARE,"8030 118 AVENUE  EDMONTON, AB  T5B 0R8",77,780-756-1920
