Type,Name,Location,Capacity,Phone
DAY CARE (FACILITY-BASED PROGRAM),CORE CHILD CARE SOCIETY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",141,587-466-9292
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CORE CHILD CARE SOCIETY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",141,587-466-9292
PRE-SCHOOL (FACILITY-BASED PROGRAM),CORE DYNAMICS ARTS PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",10,780-874-9988
DAY CARE (FACILITY-BASED PROGRAM),CORNERSTONE CHILD DAY CARE INC. PHASE 2,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",67,403-280-5155
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CORNERSTONE CHILD DAY CARE INC. PHASE 2,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",67,403-280-5155
DAY CARE (FACILITY-BASED PROGRAM),CORNERSTONE CHILD DAYCARE INC. PHASE 1,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,403-293-9012
DAY CARE (FACILITY-BASED PROGRAM),CORNERSTONE CHILD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-469-3994
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CORNERSTONE CHILD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-469-3994
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CORPUS CHRISTI OUT OF SCHOOL CARE PROGRAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",65,780-267-4855
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),COUNTRY CLUB DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",126,780-444-6698
DAY CARE (FACILITY-BASED PROGRAM),COUNTRY CLUB DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",126,780-444-6698
DAY CARE (FACILITY-BASED PROGRAM),COUNTRY KIDS CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,403-644-2205
PRE-SCHOOL (FACILITY-BASED PROGRAM),COUNTRY KIDS CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,403-644-2205
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),COUNTRY KIDS CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,403-644-2205
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),COUNTY PLACE EARLY LEARNING & CARE CENTRE-DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",111,780-417-5008
DAY CARE (FACILITY-BASED PROGRAM),COUNTY PLACE EARLY LEARNING & CARE CENTRE-DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",111,780-417-5008
PRE-SCHOOL (FACILITY-BASED PROGRAM),COVENANT CHRISTIAN PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",16,780-986-8353
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CP KIDZ CLUB,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",50,403-887-4062
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CRAWFORD PLAINS DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",110,780-413-4143
DAY CARE (FACILITY-BASED PROGRAM),CRAWFORD PLAINS DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",110,780-413-4143
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CRAYON ACADEMY INC OSC & BEFORE AND AFTER SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",35,403-548-6154
DAY CARE (FACILITY-BASED PROGRAM),CRAYON ACADEMY INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",34,403-878-7406
DAY CARE (FACILITY-BASED PROGRAM),CRAYON ACADEMY INC. - SE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-548-6154
PRE-SCHOOL (FACILITY-BASED PROGRAM),CREATING FUTURES DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",147,587-228-5692
DAY CARE (FACILITY-BASED PROGRAM),CREATING FUTURES DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",147,587-228-5692
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREATING FUTURES DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",147,587-228-5692
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREATIONS CHILD CARE INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",36,403-399-0085
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREATIONS CHILD CARE INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",65,403-399-0085
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREATIVE CHILDREN'S DAY CARE (2003) LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",54,780-962-8756
DAY CARE (FACILITY-BASED PROGRAM),CREATIVE CHILDREN'S DAY CARE (2003) LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",54,780-962-8756
PRE-SCHOOL (FACILITY-BASED PROGRAM),CREATIVE CRAYONS PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",22,780-673-7066
DAY CARE (FACILITY-BASED PROGRAM),CREATIVE KIDS ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",94,403-590-0814
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREATIVE KIDS ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",94,403-590-0814
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREATIVE KIDZ DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",87,780-250-5439
DAY CARE (FACILITY-BASED PROGRAM),CREATIVE KIDZ DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",87,780-250-5439
DAY CARE (FACILITY-BASED PROGRAM),CREATIVE LEARNING CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-225-0600
PRE-SCHOOL (FACILITY-BASED PROGRAM),CREATIVE MINDS PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,780-443-3200
PRE-SCHOOL (FACILITY-BASED PROGRAM),CREATIVE MINDS PRESCHOOL #4,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-475-4000
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREATIVE WORLD,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",53,403-988-9689
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREEKSIDE CREATIVE ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",105,403-318-7677
DAY CARE (FACILITY-BASED PROGRAM),CREEKSIDE CREATIVE ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",105,403-318-7677
DAY CARE (FACILITY-BASED PROGRAM),CREEKWOOD DAYCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",76,780-803-0686
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CREEKWOOD DAYCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",76,780-803-0686
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CRESCENDO OUT OF SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",26,780-695-2396
PRE-SCHOOL (FACILITY-BASED PROGRAM),CRESTOMERE PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",9,403-877-3892
PRE-SCHOOL (FACILITY-BASED PROGRAM),CRESTWOOD MONTESSORI SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",21,780-489-0773
DAY CARE (FACILITY-BASED PROGRAM),CROSS CULTURAL CHILDREN'S CENTER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",81,403-262-5692
DAY CARE (FACILITY-BASED PROGRAM),CROSSFIELD MONTESSORI CHILDCARE LTD,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",84,403-946-0222
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CROSSFIELD MONTESSORI CHILDCARE LTD,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",84,403-946-0222
PRE-SCHOOL (FACILITY-BASED PROGRAM),CROSSFIELD PLAYSCHOOL ASSOCIATION,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-946-0255
PRE-SCHOOL (FACILITY-BASED PROGRAM),CROSSROADS COMMUNITY ASSOCIATION PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-277-2168
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CROWSNEST PASS - OUT OF SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,403-562-8664
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CRYSTALRIDGE LEARNING CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",126,403-982-0046
DAY CARE (FACILITY-BASED PROGRAM),CRYSTALRIDGE LEARNING CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",126,403-982-0046
DAY CARE (FACILITY-BASED PROGRAM),CUPS CHILD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,403-290-5520
DAY CARE (FACILITY-BASED PROGRAM),CURIOSITY AND WONDER CHILD CARE PROGRAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",15,403-432-0151
PRE-SCHOOL (FACILITY-BASED PROGRAM),CURIOSITY CORNER PRESCHOOL INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-226-3710
DAY CARE (FACILITY-BASED PROGRAM),CURIOUS KIDS LEARNING CENTER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",69,587-623-1106
DAY CARE (FACILITY-BASED PROGRAM),CURIOUS LEARNERS DAYCARE AND OUT OF SCHOOL CARE WESTMOUNT,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",64,587-594-5219
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CURIOUS LEARNERS DAYCARE AND OUT OF SCHOOL CARE WESTMOUNT,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",64,587-594-5219
DAY CARE (FACILITY-BASED PROGRAM),CYPRESS MONTESSORI BILINGUAL ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,403-580-3010
DAY CARE (FACILITY-BASED PROGRAM),DAISY DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,780-966-0087
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DAISY DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,780-966-0087
PRE-SCHOOL (FACILITY-BASED PROGRAM),DALHOUSIE OUT OF SCHOOL AND PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",62,403-286-2555
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DALHOUSIE OUT OF SCHOOL AND PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",62,403-286-2555
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DALHOUSIE OUT OF SCHOOL CARE - DALHOUSIE ELEMENTARY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",100,587-437-8217
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DALHOUSIE OUT OF SCHOOL CARE WEST DALHOUSIE ELEMENTARY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,403-286-2555
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DALY GROVE DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-461-2761
DAY CARE (FACILITY-BASED PROGRAM),DALY GROVE DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-461-2761
DAY CARE (FACILITY-BASED PROGRAM),DANA DAY CARE LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,403-242-1904
DAY CARE (FACILITY-BASED PROGRAM),DAVE MCNEILLY BETHEL CHILDCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",150,780-880-6510
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DAVE MCNEILLY BETHEL CHILDCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",150,780-880-6510
PRE-SCHOOL (FACILITY-BASED PROGRAM),DAVID THOMPSON PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",17,403-729-3849
DAY CARE (FACILITY-BASED PROGRAM),"DAYCARE ""KOLOBOK""","4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",46,780-263-0076
DAY CARE (FACILITY-BASED PROGRAM),DAYDREAMS ELCC LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",82,403-601-2167
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DAYDREAMS ELCC LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",82,403-601-2167
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DAYDREAMS OSC,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",65,403-601-2167
PRE-SCHOOL (FACILITY-BASED PROGRAM),DAYSLAND & DISTRICT PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",19,780-940-0272
DAY CARE (FACILITY-BASED PROGRAM),DAYSTAR CHILDCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",58,587-537-6985
PRE-SCHOOL (FACILITY-BASED PROGRAM),DE WINTON COMMUNITY PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-852-5887
DAY CARE (FACILITY-BASED PROGRAM),DEER RUN COMMUNITY CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",120,403-271-3704
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DEER RUN COMMUNITY CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",120,403-271-3704
PRE-SCHOOL (FACILITY-BASED PROGRAM),DELBURNE PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-505-6555
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DELTON EARLY LEARNING,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",61,780-752-2229
DAY CARE (FACILITY-BASED PROGRAM),DELTON EARLY LEARNING,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",61,780-752-2229
PRE-SCHOOL (FACILITY-BASED PROGRAM),DENFORD PARK PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,780-886-6453
PRE-SCHOOL (FACILITY-BASED PROGRAM),DEVON CHRISTIAN PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",22,780-987-4157
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DEW DROPS DAYCARE CENTRE CALMAR LTD,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",39,780-985-2818
DAY CARE (FACILITY-BASED PROGRAM),DEW DROPS DAYCARE CENTRE CALMAR LTD,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",39,780-985-2818
DAY CARE (FACILITY-BASED PROGRAM),DIAMOND DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",54,780-476-2279
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DIAMOND DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",54,780-476-2279
DAY CARE (FACILITY-BASED PROGRAM),DIAMOND VALLEY EARLY LEARNING CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",23,825-994-9176
PRE-SCHOOL (FACILITY-BASED PROGRAM),DIAS MAGICOS /MAGIC DAYS PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-938-7278
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DICKINSFIELD CHILD DEVELOPMENT CENTER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",61,780-478-6464
DAY CARE (FACILITY-BASED PROGRAM),DICKINSFIELD CHILD DEVELOPMENT CENTER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",61,780-478-6464
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DIDSBURY OUT OF SCHOOL CARE ASSOCIATION,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,403-335-8719
PRE-SCHOOL (FACILITY-BASED PROGRAM),DIDSBURY PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",15,403-335-8818
PRE-SCHOOL (FACILITY-BASED PROGRAM),DIE KLEINE KINDERSCHULE (FOREST HEIGHTS),"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,780-466-0312
PRE-SCHOOL (FACILITY-BASED PROGRAM),DIE KLEINE KINDERSCHULE (RIO TERRACE),"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,780-695-8388
PRE-SCHOOL (FACILITY-BASED PROGRAM),DIE KLEINE KINDERSCHULE KINDERGARTEN SOCIETY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,780-437-0010
DAY CARE (FACILITY-BASED PROGRAM),DINO DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,780-451-4978
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DINO DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,780-451-4978
DAY CARE (FACILITY-BASED PROGRAM),DINOSAUR DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,780-456-7193
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERERS' DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",38,780-709-3738
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERERS' DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",38,780-709-3738
PRE-SCHOOL (FACILITY-BASED PROGRAM),DISCOVERIES PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-396-6379
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY CHILD CARE INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",46,403-261-2811
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY CORNER PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-472-1477
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERY CORNER PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-472-1477
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",31,780-468-3475
PRE-SCHOOL (FACILITY-BASED PROGRAM),DISCOVERY KIDS PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",16,877-553-0864
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERY KIM HUNG KINDERCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",12,780-242-3403
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY NEST EARLY LEARNING CENTER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",28,587-937-0241
PRE-SCHOOL (FACILITY-BASED PROGRAM),DISCOVERY NURSERY SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-381-0659
PRE-SCHOOL (FACILITY-BASED PROGRAM),DISCOVERY OSC DONALD R GETTY SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-257-5573
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERY OSC DONALD R GETTY SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-257-5573
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY OSC DONALD R GETTY SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",72,780-257-5573
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY OSC DR LILA FAHLMAN SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,780-686-5573
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERY OSC DR LILA FAHLMAN SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,780-686-5573
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERY OSC KIM HUNG SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",54,780-243-5573
PRE-SCHOOL (FACILITY-BASED PROGRAM),DISCOVERY OSC KIM HUNG SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",54,780-243-5573
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY OSC KIM HUNG SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",54,780-243-5573
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY OUT OF SCHOOL CARE RIDEAU PARK,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,780-242-3403
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERY OUT OF SCHOOL CARE RIDEAU PARK,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,780-242-3403
PRE-SCHOOL (FACILITY-BASED PROGRAM),DISCOVERY PLACE PRE-SCHOOL SOCIETY OF EDMONTON,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,780-686-5573
PRE-SCHOOL (FACILITY-BASED PROGRAM),DISCOVERY PRESCHOOL SOCIETY OF CALGARY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",18,403-465-1141
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERY QUEEN ALEXANDRA OUT OF SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",29,780-242-3403
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERY QUEEN ALEXANDRA OUT OF SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",29,780-242-3403
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERYLAND CHILDCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",136,780-484-3362
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERYLAND CHILDCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",136,780-484-3362
DAY CARE (FACILITY-BASED PROGRAM),DISCOVERYLAND PLAY AND LEARN CENTER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",141,780-960-9646
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DISCOVERYLAND PLAY AND LEARN CENTER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",141,780-960-9646
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DIVINE MERCY OUT OF SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",58,780-884-3564
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DOLPHIN CHILD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",46,780-923-2338
DAY CARE (FACILITY-BASED PROGRAM),DOLPHIN CHILD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",46,780-923-2338
DAY CARE (FACILITY-BASED PROGRAM),DOLPHINS AND DINOSAURS CHILDCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",84,403-981-1181
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DOLPHINS AND DINOSAURS CHILDCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",84,403-981-1181
DAY CARE (FACILITY-BASED PROGRAM),DOMINICAN SISTERS DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",16,403-282-5077
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DON CAMPBELL SCHOOL AGE PROGRAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",42,403-596-9790
DAY CARE (FACILITY-BASED PROGRAM),DONNA'S ABC DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",39,403-562-2373
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DOUGLASDALE - A STEP AHEAD CHILD DEVELOPMENT SERVICES LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",56,403-269-7837
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DOVER DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,587-352-2770
DAY CARE (FACILITY-BASED PROGRAM),DOVER DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,587-352-2770
DAY CARE (FACILITY-BASED PROGRAM),DOWNTOWN CALGARY MONTESSORI CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",69,403-827-7896
DAY CARE (FACILITY-BASED PROGRAM),DR. CLARK BETHEL CHILDCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",57,780-750-7700
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DR. CLARK BETHEL CHILDCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",57,780-750-7700
DAY CARE (FACILITY-BASED PROGRAM),DRAGONS & BUTTERFLIES CREATIVE PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,403-528-2720
DAY CARE (FACILITY-BASED PROGRAM),DRAGONS AND BUTTERFLIES CREATIVE PRESCHOOL #2,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",16,403-529-2710
DAY CARE (FACILITY-BASED PROGRAM),DRAYTON VALLEY EARLY CHILDHOOD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",92,780-514-2248
PRE-SCHOOL (FACILITY-BASED PROGRAM),DRAYTON VALLEY PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",25,780-542-4313
DAY CARE (FACILITY-BASED PROGRAM),DREAMLAND DAYCARE & OSC,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",112,780-919-2988
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DREAMLAND DAYCARE & OSC,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",112,780-919-2988
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),DUCK INN DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",80,780-413-1702
DAY CARE (FACILITY-BASED PROGRAM),DUCK INN DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",80,780-413-1702
